"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.oneeyedmen.kostings.primitives.JavaPrimitives._1_baseline","thrpt",1,5,24636288.249714,783705.992189,"ops/s"
"com.oneeyedmen.kostings.primitives.JavaPrimitives._2_sum","thrpt",1,5,24140749.537102,4031876.560699,"ops/s"
"com.oneeyedmen.kostings.primitives.KotlinPrimitives._1_baseline","thrpt",1,5,24802675.057059,574110.335156,"ops/s"
"com.oneeyedmen.kostings.primitives.KotlinPrimitives._2_sum","thrpt",1,5,24775450.102963,975415.203684,"ops/s"
"com.oneeyedmen.kostings.primitives.KotlinPrimitives._3_sum_nullable","thrpt",1,5,24403127.219001,1327234.224430,"ops/s"
"com.oneeyedmen.kostings.primitives.KotlinPrimitives._4_sum_always_null","thrpt",1,5,24915999.648007,1598206.257161,"ops/s"
"com.oneeyedmen.kostings.primitives.KotlinPrimitives._5_sum_50_50_nullable","thrpt",1,5,24499063.899709,1429979.045296,"ops/s"
"com.oneeyedmen.kostings.primitives.KotlinPrimitives._6_sum_90_10_nullable","thrpt",1,5,24433062.945646,1778090.440845,"ops/s"
