"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.oneeyedmen.kostings.primitives.JavaPrimitives._1_baseline","thrpt",1,1000,25529670.626098,47717.245195,"ops/s"
"com.oneeyedmen.kostings.primitives.JavaPrimitives._2_sum","thrpt",1,1000,25529201.341126,46523.486870,"ops/s"
"com.oneeyedmen.kostings.primitives.KotlinPrimitives._1_baseline","thrpt",1,1000,25522770.327011,47047.594158,"ops/s"
"com.oneeyedmen.kostings.primitives.KotlinPrimitives._2_sum","thrpt",1,1000,25563705.167214,46602.950406,"ops/s"
"com.oneeyedmen.kostings.primitives.KotlinPrimitives._3_sum_nullable","thrpt",1,1000,25359229.921484,99845.654269,"ops/s"
"com.oneeyedmen.kostings.primitives.KotlinPrimitives._4_sum_always_null","thrpt",1,1000,25583696.805911,42612.297751,"ops/s"
"com.oneeyedmen.kostings.primitives.KotlinPrimitives._5_sum_50_50_nullable","thrpt",1,1000,25606024.016282,43968.117796,"ops/s"
"com.oneeyedmen.kostings.primitives.KotlinPrimitives._6_sum_90_10_nullable","thrpt",1,1000,25556183.644405,48590.705707,"ops/s"
