"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.oneeyedmen.kostings.primitives.JavaPrimitives._1_baseline","thrpt",1,500,24383979.675315,215075.807179,"ops/s"
"com.oneeyedmen.kostings.primitives.JavaPrimitives._2_sum","thrpt",1,500,24325530.977272,252082.921469,"ops/s"
"com.oneeyedmen.kostings.primitives.KotlinPrimitives._1_baseline","thrpt",1,500,25361411.580991,117518.900058,"ops/s"
"com.oneeyedmen.kostings.primitives.KotlinPrimitives._2_sum","thrpt",1,500,25464248.845982,62807.279159,"ops/s"
"com.oneeyedmen.kostings.primitives.KotlinPrimitives._3_sum_nullable","thrpt",1,500,25389296.258048,78313.864670,"ops/s"
"com.oneeyedmen.kostings.primitives.KotlinPrimitives._4_sum_always_null","thrpt",1,500,25445778.010695,67175.882322,"ops/s"
"com.oneeyedmen.kostings.primitives.KotlinPrimitives._5_sum_50_50_nullable","thrpt",1,500,25378131.188757,88102.846900,"ops/s"
"com.oneeyedmen.kostings.primitives.KotlinPrimitives._6_sum_90_10_nullable","thrpt",1,500,25452269.492756,78985.487512,"ops/s"
