"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.oneeyedmen.kostings.primitives.JavaPrimitives._1_baseline","thrpt",1,1000,24062146.612491,186957.585710,"ops/s"
"com.oneeyedmen.kostings.primitives.JavaPrimitives._2_sum","thrpt",1,1000,26249699.147470,48892.763198,"ops/s"
"com.oneeyedmen.kostings.primitives.KotlinPrimitives._1_baseline","thrpt",1,1000,26171696.757448,50047.772757,"ops/s"
"com.oneeyedmen.kostings.primitives.KotlinPrimitives._2_sum","thrpt",1,1000,26240570.716298,48643.810956,"ops/s"
"com.oneeyedmen.kostings.primitives.KotlinPrimitives._3_sum_nullable","thrpt",1,1000,26267441.992684,46833.169973,"ops/s"
"com.oneeyedmen.kostings.primitives.KotlinPrimitives._4_sum_always_null","thrpt",1,1000,26279403.676176,45703.879959,"ops/s"
"com.oneeyedmen.kostings.primitives.KotlinPrimitives._5_sum_50_50_nullable","thrpt",1,1000,26268192.475937,45372.723180,"ops/s"
"com.oneeyedmen.kostings.primitives.KotlinPrimitives._6_sum_90_10_nullable","thrpt",1,1000,25402508.660391,66911.727931,"ops/s"
