"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.oneeyedmen.kostings.primitives.KotlinPrimitives._1_baseline","thrpt",1,500,24883178.322391,53876.096023,"ops/s"
"com.oneeyedmen.kostings.primitives.KotlinPrimitives._2_sum","thrpt",1,500,24959511.737020,64321.034520,"ops/s"
"com.oneeyedmen.kostings.primitives.KotlinPrimitives._3_sum_nullable","thrpt",1,500,24965391.227694,72038.805368,"ops/s"
"com.oneeyedmen.kostings.primitives.KotlinPrimitives._4_sum_always_null","thrpt",1,500,24938800.411543,75147.743105,"ops/s"
"com.oneeyedmen.kostings.primitives.KotlinPrimitives._5_sum_50_50_nullable","thrpt",1,500,25484092.348820,110461.965048,"ops/s"
"com.oneeyedmen.kostings.primitives.KotlinPrimitives._6_sum_90_10_nullable","thrpt",1,500,25149737.016380,159970.231558,"ops/s"
"com.oneeyedmen.kostings.primitives.XJavaPrimitives._1_baseline","thrpt",1,500,25593729.264350,55387.874686,"ops/s"
"com.oneeyedmen.kostings.primitives.XJavaPrimitives._2_sum","thrpt",1,500,25361184.168271,77174.539006,"ops/s"
