"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.oneeyedmen.kostings.primitives.JavaPrimitives._1_baseline","thrpt",1,200,25281693.935165,175891.916758,"ops/s"
"com.oneeyedmen.kostings.primitives.JavaPrimitives._2_sum","thrpt",1,200,25044118.606991,282733.726968,"ops/s"
"com.oneeyedmen.kostings.primitives.KotlinPrimitives._1_baseline","thrpt",1,200,25698822.125317,144548.571937,"ops/s"
"com.oneeyedmen.kostings.primitives.KotlinPrimitives._2_sum","thrpt",1,200,25853353.127703,106895.156837,"ops/s"
"com.oneeyedmen.kostings.primitives.KotlinPrimitives._3_sum_nullable","thrpt",1,200,25729805.651805,100613.666073,"ops/s"
"com.oneeyedmen.kostings.primitives.KotlinPrimitives._4_sum_always_null","thrpt",1,200,25720969.505092,118388.496166,"ops/s"
"com.oneeyedmen.kostings.primitives.KotlinPrimitives._5_sum_50_50_nullable","thrpt",1,200,25706068.128519,131867.718780,"ops/s"
"com.oneeyedmen.kostings.primitives.KotlinPrimitives._6_sum_90_10_nullable","thrpt",1,200,25704119.935357,106953.677908,"ops/s"
